function_id,time_stamp,duration
function_2,1537513594.9248185,1.0010759830474854
function_1,1537513594.925414,1.0010278224945068
function_3,1537513594.926251,1.001070261001587
function_2,1537513594.926902,1.0010676383972168
function_3,1537513594.9241545,2.002164840698242
function_3,1537513594.9243178,2.0020527839660645
function_1,1537513594.9270082,2.0007498264312744
function_3,1537513594.925984,2.0018043518066406
function_3,1537513595.9266815,1.0016276836395264
function_3,1537513594.9266136,2.0019490718841553
function_3,1537513594.9263482,2.002145290374756
function_3,1537513594.9264348,3.0019397735595703
function_1,1537513594.9252582,3.0030791759490967
function_1,1537513595.9275765,2.0013058185577393
function_1,1537513594.9261494,3.002568244934082
function_3,1537513595.9282293,2.000553607940674
function_1,1537513595.9262452,2.0025174617767334
function_2,1537513594.9265175,3.002039670944214
function_3,1537513594.9267097,3.0021514892578125
function_2,1537513596.9290159,1.0007951259613037
function_2,1537513594.9268093,3.0024263858795166
function_1,1537513594.9256837,3.0041017532348633
function_1,1537513594.9250472,4.003789186477661
function_3,1537513594.9245973,4.0041868686676025
function_2,1537513594.925832,4.0033581256866455
function_2,1537513596.9291098,2.000464916229248
function_2,1537513596.9289265,2.0010688304901123
function_3,1537513597.9305809,1.0010619163513184
function_1,1537513597.9306226,1.0010509490966797
function_3,1537513596.9282875,3.0030717849731445
function_3,1537513596.9280336,3.0031888484954834
function_3,1537513598.9304116,1.000870704650879
function_2,1537513596.9269223,4.004186630249023
function_3,1537513597.9306567,3.000499725341797
function_1,1537513598.9301214,2.002073287963867
function_1,1537513597.9306421,3.003028154373169
function_1,1537513598.9294457,3.003215789794922
function_3,1537513597.9299977,4.004067897796631
function_1,1537513597.9303162,4.004038333892822
function_1,1537513597.9305568,4.004043340682983
function_1,1537513597.9306011,4.003941535949707
function_3,1537513597.9305289,4.0038580894470215
function_3,1537513598.9320416,3.002798080444336
function_2,1537513600.931495,2.002051830291748
function_3,1537513600.9317276,2.002031087875366
function_3,1537513599.9323056,3.0016613006591797
function_2,1537513598.9299088,4.00413966178894
function_3,1537513598.930334,4.004063367843628
function_3,1537513600.9338846,2.0020174980163574
function_2,1537513598.9320009,4.003918409347534
function_2,1537513602.934427,1.0005745887756348
function_3,1537513601.9329073,2.0024731159210205
function_3,1537513602.9341922,1.0010693073272705
function_3,1537513601.9356728,2.002023458480835
function_3,1537513600.9324098,4.0040624141693115
function_1,1537513603.93531,1.0011012554168701
function_2,1537513603.935693,1.0010936260223389
function_2,1537513603.9356687,1.0013604164123535
function_1,1537513601.9356456,3.0018723011016846
function_1,1537513602.936121,2.0020675659179688
function_1,1537513601.9356072,3.002721071243286
function_2,1537513601.935518,3.003070116043091
function_3,1537513604.9373147,1.001096487045288
function_1,1537513602.936169,3.0024547576904297
function_2,1537513604.9374936,1.0012116432189941
function_2,1537513601.9351969,4.004032850265503
function_3,1537513604.9383183,1.0010323524475098
function_1,1537513602.93403,4.0017249584198
function_1,1537513602.9338946,4.004051208496094
function_1,1537513604.937447,2.0020947456359863
function_3,1537513605.9389284,1.001065969467163
function_2,1537513605.939096,1.001142978668213
function_2,1537513604.938748,2.0020220279693604
function_3,1537513606.9360433,1.0011661052703857
function_1,1537513605.938897,2.000323534011841
function_2,1537513606.9381416,1.0010340213775635
function_3,1537513604.9375527,3.003023862838745
function_2,1537513606.9401908,1.0010852813720703
function_2,1537513606.9404275,1.0010757446289062
function_3,1537513603.9378498,4.003626346588135
function_2,1537513604.9377105,4.001363754272461
function_1,1537513604.9385157,4.003025770187378
function_3,1537513605.9395063,3.0030336380004883
function_2,1537513605.9395528,4.00395131111145
function_3,1537513607.941781,2.0020453929901123
function_1,1537513607.94073,3.0021491050720215
function_3,1537513607.939608,3.0032026767730713
function_2,1537513606.9397361,4.0040717124938965
function_2,1537513607.941894,3.0026533603668213
function_3,1537513607.9414322,3.0030674934387207
function_1,1537513609.9438086,1.001128911972046
function_3,1537513608.939383,3.0030767917633057
function_1,1537513610.9432058,2.001185178756714
function_1,1537513609.9441202,3.0014374256134033
function_1,1537513610.944056,3.003183126449585
function_3,1537513610.9450252,3.003035068511963
function_3,1537513610.9435418,4.004193305969238
function_3,1537513613.9483051,1.0010931491851807
function_1,1537513614.948048,1.001159429550171
function_3,1537513615.949568,3.0031938552856445
function_3,1537513614.9496634,4.0031514167785645
